MSSubClass,LotFrontage,LotArea,LotShape,LotConfig,Neighborhood,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,Fireplaces,GarageType,GarageFinish,GarageCars,WoodDeckSF,OpenPorchSF,MoSold,YrSold
_3,85.0,14191.0,Reg,Inside,other_3,2Story,8,5,2002,2002,Gable,VinylSd,0.0,Gd,PConc,Gd,No,Unf,0.0,967.0,967.0,Ex,915.0,1908.0,0,2,1,4,Gd,0,Attchd,Fin,2,135.0,0.0,4,2010
_2,60.0,8400.0,Reg,Inside,other_2,1Story,4,4,1950,1950,Gable,Wd Sdng,0.0,Fa,CBlock,TA,No,Unf,0.0,721.0,721.0,Gd,0.0,841.0,0,1,0,2,TA,0,CarPort,Unf,1,250.0,0.0,9,2009
_1,70.0,8544.0,Reg,Inside,NAmes,1Story,3,4,1949,1950,Gable,other,340.0,TA,Slab,Gd,No,GLQ,0.0,0.0,0.0,Fa,0.0,1040.0,0,2,0,2,TA,0,Detchd,Unf,2,0.0,0.0,5,2006
_2,63.0,8849.0,IR1,Inside,NridgHt,1Story,9,5,2005,2005,Hip,MetalSd,616.0,Ex,PConc,Ex,No,GLQ,28.0,1656.0,1684.0,Ex,0.0,1684.0,0,2,0,2,Ex,1,Attchd,RFn,2,495.0,72.0,7,2008
_1,36.0,2592.0,Reg,Inside,other_1,2Story,5,3,1976,1976,Gable,CemntBd,0.0,TA,CBlock,Gd,No,Rec,129.0,175.0,536.0,TA,576.0,1112.0,0,1,1,3,TA,0,Attchd,Unf,1,182.0,0.0,4,2010
_1,65.0,6435.0,Reg,Inside,other_1,1.5Fin,6,5,1939,1950,Gable,MetalSd,0.0,TA,BrkTil,TA,No,Unf,0.0,972.0,972.0,Gd,605.0,1577.0,0,1,0,3,Fa,1,Detchd,Unf,1,0.0,0.0,10,2006
_2,70.0,12772.0,IR1,CulDSac,NAmes,1Story,6,8,1960,1998,Hip,MetalSd,0.0,TA,CBlock,TA,Mn,BLQ,498.0,460.0,958.0,TA,0.0,958.0,0,1,0,2,TA,0,Attchd,RFn,1,0.0,0.0,4,2007
_2,70.0,17600.0,IR1,Inside,NAmes,1Story,6,5,1960,1960,Gable,Wd Sdng,30.0,TA,CBlock,TA,No,BLQ,1270.0,208.0,1478.0,Ex,0.0,1478.0,1,2,0,3,TA,2,Attchd,Unf,2,0.0,40.0,12,2009
_1,36.0,2448.0,Reg,Inside,NridgHt,2Story,7,5,2003,2004,Gable,VinylSd,106.0,Gd,PConc,Gd,No,GLQ,573.0,191.0,764.0,Ex,862.0,1626.0,1,2,1,2,Gd,0,BuiltIn,RFn,2,0.0,27.0,10,2008
_3,56.0,20431.0,IR2,Inside,NridgHt,2Story,9,5,2005,2006,Hip,CemntBd,791.2800000000007,Ex,PConc,Ex,No,GLQ,1410.0,438.0,1848.0,Ex,880.0,2728.0,1,2,1,4,Ex,2,Attchd,Fin,3,0.0,0.0,4,2006
_2,68.0,7820.0,IR1,Inside,NridgHt,1Story,9,5,2007,2007,Hip,MetalSd,362.0,Ex,PConc,Ex,No,Unf,0.0,1797.0500000000004,1869.0,Ex,0.0,1869.0,0,2,0,2,Ex,1,Attchd,RFn,2,210.0,54.0,12,2007
_2,70.0,5271.0,IR1,Inside,other_3,1Story,7,5,1986,1986,Gable,Wd Sdng,0.0,TA,PConc,Gd,Gd,GLQ,1082.0,371.0,1453.0,Gd,0.0,1453.0,1,1,1,2,Gd,1,Attchd,RFn,2,0.0,80.0,12,2006
_1,60.0,9084.0,Reg,Inside,Edwards,1.5Fin,5,6,1941,1950,Gable,VinylSd,0.0,TA,CBlock,TA,Mn,LwQ,236.0,0.0,616.0,TA,495.0,1111.0,0,1,0,3,TA,0,Detchd,Unf,1,48.0,0.0,3,2008
_1,60.0,8520.0,Reg,Inside,OldTown,1Story,6,8,1928,2003,Gable,VinylSd,0.0,TA,BrkTil,TA,No,Unf,0.0,624.0,624.0,Gd,0.0,720.0,0,1,0,2,TA,0,Detchd,Unf,2,106.0,0.0,5,2010
_1,60.0,8400.0,Reg,Inside,other_1,1.5Fin,6,5,1940,2000,Gable,Wd Sdng,0.0,TA,CBlock,TA,No,LwQ,388.0,552.0,940.0,Ex,403.0,1595.0,0,1,0,2,TA,2,Attchd,Unf,1,0.0,0.0,6,2006
_2,105.0,11249.0,IR2,Inside,CollgCr,1Story,6,5,1995,1995,Gable,VinylSd,0.0,Gd,PConc,Gd,No,ALQ,334.0,322.0,1200.0,Ex,0.0,1200.0,1,2,0,3,Gd,0,Attchd,RFn,2,0.0,26.0,8,2007
_2,70.0,9248.0,IR1,Inside,Gilbert,1Story,6,6,1992,1992,Gable,HdBoard,106.0,TA,PConc,Gd,No,GLQ,560.0,598.0,1158.0,Gd,0.0,1167.0,1,2,0,3,Gd,0,Attchd,RFn,2,120.0,26.0,7,2009
_2,44.0,4224.0,Reg,Inside,other_1,1Story,5,5,1976,1976,Gable,CemntBd,0.0,TA,PConc,Gd,No,ALQ,874.0,268.0,1142.0,TA,0.0,1142.0,1,1,1,3,TA,1,Attchd,Fin,2,505.4600000000005,90.0,8,2007
_2,92.0,6930.0,IR1,Inside,other_3,SLvl,5,4,1958,1958,Hip,Wd Sdng,120.0,TA,CBlock,TA,Av,BLQ,300.0,468.0,1062.0,Ex,0.0,1352.0,0,1,0,3,Gd,0,BuiltIn,Unf,1,168.0,0.0,7,2006
_3,78.0,12011.0,IR1,CulDSac,other_4,2Story,8,5,1998,1998,Gable,VinylSd,530.0,Gd,PConc,Gd,Av,GLQ,956.0,130.0,1086.0,Ex,838.0,1924.0,1,2,1,3,Gd,1,Attchd,RFn,2,208.0,75.0,6,2006
_1,70.0,7540.0,IR1,CulDSac,other_2,other,6,6,1978,1978,Gable,VinylSd,0.0,TA,CBlock,Gd,Av,GLQ,773.0,115.0,888.0,Ex,0.0,912.0,1,1,0,2,TA,1,Attchd,RFn,2,0.0,0.0,6,2007
_1,70.0,9144.0,Reg,Inside,other_1,1.5Fin,5,5,1940,1982,Gable,MetalSd,0.0,TA,CBlock,TA,No,Rec,399.0,484.0,883.0,Gd,517.0,1505.0,1,1,0,3,TA,0,Detchd,Unf,1,0.0,0.0,7,2008
_1,64.0,7301.0,Reg,Corner,Edwards,other,7,5,2003,2003,Gable,HdBoard,500.0,Gd,Slab,Gd,No,GLQ,0.0,0.0,0.0,Ex,1418.920000000001,1922.0,0,3,0,4,Gd,1,BuiltIn,RFn,2,0.0,0.0,7,2009
_1,21.0,1680.0,Reg,Inside,other_1,2Story,6,8,1972,2007,Gable,HdBoard,510.0,TA,CBlock,TA,No,ALQ,162.0,321.0,483.0,Gd,504.0,987.0,0,1,1,2,Gd,0,Detchd,Unf,1,250.0,0.0,5,2009
_3,70.0,18800.0,IR1,FR2,NWAmes,2Story,6,5,1976,1976,Gable,HdBoard,120.0,TA,PConc,Gd,Mn,GLQ,712.0,84.0,796.0,TA,784.0,1574.0,1,2,1,3,TA,1,Attchd,Fin,2,306.0,111.0,7,2006
_2,59.0,10690.0,Reg,Inside,other_1,2Story,5,7,1920,1997,Hip,VinylSd,0.0,TA,CBlock,TA,No,Rec,456.0,216.0,672.0,Gd,672.0,1344.0,0,1,0,3,TA,0,Detchd,Unf,1,0.0,128.0,7,2009
_2,70.0,9500.0,IR1,Inside,NAmes,1Story,6,5,1963,1963,Gable,Plywood,247.0,TA,CBlock,Gd,No,BLQ,609.0,785.0,1394.0,Gd,0.0,1394.0,1,1,1,3,TA,2,Attchd,RFn,2,0.0,76.0,7,2009
_2,101.0,9150.0,IR1,Corner,NAmes,SLvl,6,5,1962,1962,Gable,Plywood,305.0,TA,CBlock,Gd,Gd,GLQ,371.0,728.0,1099.0,Gd,0.0,1431.0,0,1,0,3,TA,1,Basment,RFn,1,64.0,110.0,12,2008
_2,78.0,7800.0,Reg,Inside,NAmes,1Story,5,6,1954,1954,Gable,HdBoard,200.0,TA,PConc,TA,No,LwQ,540.0,728.0,1268.0,Gd,0.0,1268.0,0,1,0,2,TA,1,Attchd,Fin,1,0.0,98.0,3,2010
_2,70.0,9830.0,IR1,Corner,NAmes,1Story,5,7,1959,2006,Gable,Wd Sdng,0.0,TA,CBlock,TA,No,ALQ,72.0,733.0,1063.0,Ex,0.0,1287.0,1,1,0,3,Gd,1,Detchd,Fin,2,364.0,17.0,3,2010
_3,70.0,8121.0,IR1,Inside,Gilbert,2Story,6,5,2000,2000,Gable,VinylSd,0.0,TA,PConc,Gd,No,Unf,0.0,953.0,953.0,Ex,711.0,1664.0,0,2,1,3,TA,1,Attchd,RFn,2,100.0,40.0,1,2006
_1,80.0,17120.0,Reg,Inside,other_3,1.5Fin,4,4,1959,1959,Gable,other,0.0,TA,CBlock,Gd,No,GLQ,0.0,0.0,0.0,TA,468.0,1588.0,0,2,0,4,TA,1,Detchd,Fin,2,0.0,59.0,7,2008
_2,50.0,7175.0,Reg,Inside,other_2,1Story,6,5,1984,1984,Gable,Plywood,0.0,TA,CBlock,Gd,No,ALQ,623.0,0.0,744.0,TA,0.0,752.0,1,1,0,2,TA,0,Attchd,Unf,1,353.0,0.0,2,2010
_2,79.0,10634.0,Reg,Inside,NAmes,1Story,5,6,1953,1953,Gable,MetalSd,0.0,TA,PConc,TA,No,BLQ,428.0,0.0,608.0,TA,0.0,1319.0,1,1,0,3,TA,0,Attchd,Unf,1,66.0,0.0,11,2009
_3,65.0,8200.0,Reg,Inside,CollgCr,2Story,7,5,2003,2004,Gable,VinylSd,0.0,Gd,PConc,Gd,No,Unf,0.0,847.0,847.0,Ex,1081.0,1928.0,0,2,1,4,Gd,1,BuiltIn,Fin,2,100.0,48.0,7,2007
_1,70.0,10020.0,IR1,Inside,Edwards,1Story,1,1,1922,1950,Gable,Wd Sdng,0.0,Fa,BrkTil,Fa,Gd,BLQ,350.0,333.0,683.0,Gd,0.0,904.0,1,0,1,1,Fa,0,Attchd,RFn,0,0.0,0.0,3,2009
_1,57.0,8846.0,IR1,CulDSac,CollgCr,other,5,5,1996,1996,Gable,VinylSd,0.0,Gd,PConc,Gd,Av,GLQ,298.0,572.0,870.0,Ex,0.0,914.0,0,1,0,2,TA,0,Detchd,Unf,2,0.0,0.0,7,2006
_3,102.0,11143.0,IR1,Corner,Somerst,2Story,8,5,2004,2005,Gable,CemntBd,0.0,Gd,PConc,Gd,No,Unf,0.0,1580.0,1580.0,Ex,886.0,2466.0,0,3,0,4,Gd,1,Attchd,RFn,2,159.0,214.0,12,2007
_2,88.0,11394.0,Reg,Corner,other_4,1Story,9,2,2010,2010,Hip,VinylSd,350.0,Gd,PConc,Ex,Av,GLQ,1445.0,411.0,1856.0,Ex,0.0,1856.0,1,1,1,1,Ex,1,Attchd,Fin,3,113.0,0.0,6,2010
_3,60.0,8123.0,IR1,Inside,Gilbert,2Story,6,5,2000,2000,Gable,VinylSd,16.0,TA,PConc,Gd,No,Unf,0.0,982.0,982.0,Ex,793.0,1800.0,0,2,1,3,TA,1,Attchd,Fin,2,100.0,63.0,6,2009
_1,50.0,5000.0,Reg,Inside,other_1,1.5Fin,5,6,1924,1950,Gable,BrkFace,0.0,TA,BrkTil,TA,No,LwQ,218.0,808.0,1026.0,TA,665.0,1691.0,0,2,0,3,Gd,1,Detchd,Unf,1,0.0,0.0,5,2010
_2,60.0,7200.0,Reg,Inside,Somerst,1Story,7,5,2006,2006,Gable,VinylSd,0.0,Gd,PConc,Gd,No,Unf,0.0,1293.0,1293.0,Ex,0.0,1301.0,1,2,0,2,Gd,1,Attchd,RFn,2,216.0,121.0,8,2006
_3,79.0,9245.0,IR1,Inside,CollgCr,2Story,7,5,2006,2006,Gable,VinylSd,0.0,Gd,PConc,Gd,Av,Unf,0.0,939.0,939.0,Ex,858.0,1797.0,0,2,1,3,Gd,0,Attchd,RFn,2,144.0,53.0,4,2007
_1,60.0,9000.0,Reg,Corner,other_2,other,6,3,1928,1950,Gable,Wd Sdng,0.0,TA,BrkTil,Fa,No,Unf,0.0,784.0,784.0,TA,0.0,784.0,0,1,0,2,TA,0,Detchd,Unf,2,0.0,0.0,10,2009
_3,70.0,37567.64000000021,IR2,Corner,other_3,2Story,6,5,1992,1992,Gable,HdBoard,0.0,Gd,PConc,Gd,Av,GLQ,985.0,595.0,1580.0,Ex,874.0,1953.0,1,2,1,3,Gd,2,Attchd,Fin,2,216.0,231.0,6,2007
_2,43.0,3182.0,Reg,Inside,other_2,1Story,8,5,2004,2005,Gable,VinylSd,16.0,Gd,PConc,Gd,No,GLQ,24.0,1232.0,1256.0,Ex,0.0,1269.0,0,2,0,2,Gd,1,Attchd,Fin,2,146.0,20.0,4,2010
_1,58.0,8410.0,Reg,FR2,Edwards,1.5Fin,5,3,1910,1996,Gambrel,Wd Sdng,0.0,TA,PConc,TA,No,Unf,0.0,658.0,658.0,TA,526.0,1184.0,0,1,0,5,TA,0,Attchd,RFn,0,0.0,151.0,5,2006
_2,72.0,7200.0,Reg,Inside,Edwards,SLvl,6,6,1976,1976,Hip,MetalSd,255.0,TA,CBlock,TA,Av,ALQ,631.0,410.0,1041.0,Ex,0.0,1125.0,1,1,0,3,TA,1,Detchd,Unf,1,296.0,0.0,10,2009
_2,93.0,9382.0,IR1,CulDSac,CollgCr,1Story,7,5,1999,2000,Gable,VinylSd,125.0,Gd,PConc,Gd,No,Unf,0.0,1468.0,1468.0,Ex,0.0,1479.0,0,2,0,3,Gd,0,Attchd,RFn,2,120.0,25.0,7,2008
_3,96.0,12474.0,Reg,Inside,NridgHt,2Story,10,5,2007,2008,Gable,VinylSd,272.0,Ex,PConc,Ex,Av,GLQ,1280.0,402.0,1682.0,Ex,590.0,2332.0,1,2,1,3,Ex,1,BuiltIn,Fin,3,196.0,134.0,8,2008
_1,50.0,8405.0,Reg,Inside,Edwards,1.5Fin,5,8,1900,1950,Gable,MetalSd,0.0,TA,BrkTil,TA,No,Rec,241.0,229.0,861.0,Ex,406.0,1367.0,1,1,0,4,TA,0,Detchd,Unf,1,0.0,130.0,4,2008
_3,71.0,12209.0,IR1,CulDSac,other_2,2Story,6,5,2001,2002,Gable,VinylSd,0.0,TA,PConc,Ex,No,ALQ,690.0,114.0,804.0,Ex,1157.0,1961.0,1,2,1,3,Gd,1,BuiltIn,Fin,2,125.0,192.0,6,2009
_2,70.0,8339.0,IR1,Inside,NAmes,1Story,5,7,1959,1959,Gable,MetalSd,0.0,TA,Slab,Gd,No,GLQ,0.0,0.0,0.0,TA,0.0,882.0,0,1,0,3,TA,0,Attchd,RFn,1,0.0,0.0,7,2007
_1,70.0,7446.0,Reg,Corner,other_1,1Story,4,5,1941,1950,Gable,other,0.0,TA,CBlock,TA,No,Rec,266.0,522.0,788.0,TA,0.0,788.0,0,1,0,2,TA,2,Attchd,RFn,0,0.0,0.0,4,2006
_1,60.0,10134.0,Reg,Inside,OldTown,1.5Fin,5,6,1940,1950,Gable,MetalSd,0.0,TA,CBlock,TA,No,Unf,0.0,735.0,735.0,Gd,299.0,1034.0,0,1,0,2,TA,0,Detchd,Unf,1,0.0,39.0,7,2007
_2,68.0,9571.0,Reg,Inside,Edwards,1Story,5,6,1956,1956,Gable,Wd Sdng,0.0,TA,CBlock,TA,Av,BLQ,739.0,405.0,1144.0,TA,0.0,1144.0,1,1,0,3,TA,0,Attchd,Unf,1,44.0,0.0,6,2010
_2,60.0,7200.0,Reg,Inside,CollgCr,1Story,5,5,1972,1972,Hip,MetalSd,0.0,TA,CBlock,TA,Av,Rec,777.0,117.0,894.0,TA,0.0,894.0,0,1,0,2,TA,0,Detchd,RFn,2,215.0,0.0,9,2009
_3,69.0,7590.0,Reg,Inside,NAmes,2Story,5,5,1962,1962,Gable,VinylSd,288.0,TA,CBlock,TA,No,ALQ,540.0,324.0,864.0,TA,936.0,1812.0,0,2,0,4,TA,1,Attchd,RFn,1,0.0,168.0,7,2007
_1,60.0,8967.0,Reg,Corner,other_1,1Story,5,2,1920,1950,Gable,MetalSd,0.0,TA,BrkTil,Fa,No,Unf,0.0,961.0,961.0,Gd,0.0,1077.0,0,1,0,2,TA,0,Detchd,Unf,1,0.0,0.0,11,2007
_3,65.0,8125.0,Reg,Inside,Somerst,2Story,7,5,2006,2007,Gable,CemntBd,100.0,Gd,PConc,Gd,No,GLQ,812.0,280.0,1092.0,Ex,438.0,1550.0,1,2,0,2,Gd,0,Attchd,Fin,2,0.0,168.0,10,2009
_2,38.0,14963.0,IR2,Inside,other_3,1Story,8,5,1996,1996,Gable,BrkFace,0.0,Gd,PConc,Gd,No,GLQ,786.0,474.0,1260.0,Ex,0.0,1288.0,1,1,1,1,Ex,2,Attchd,Fin,2,120.0,30.0,12,2008
_2,65.0,8767.0,IR1,Inside,CollgCr,1Story,7,5,2005,2005,Gable,VinylSd,0.0,Gd,PConc,Gd,Av,GLQ,24.0,1286.0,1310.0,Ex,0.0,1310.0,0,2,0,3,Gd,1,Attchd,Fin,2,0.0,0.0,7,2006
_1,60.0,10200.0,Reg,Inside,Sawyer,1Story,5,8,1940,1997,Gable,Wd Sdng,0.0,TA,PConc,TA,No,Unf,0.0,672.0,672.0,Ex,0.0,692.18,0,1,0,2,TA,0,Detchd,Unf,1,168.0,0.0,8,2008
_3,93.0,12090.0,Reg,Corner,other_4,2Story,8,5,1998,1998,Hip,VinylSd,650.0,Gd,PConc,Gd,No,Unf,0.0,1141.0,1141.0,Gd,1098.0,2263.0,0,2,1,4,Gd,1,BuiltIn,Fin,2,144.0,123.0,7,2006
_3,70.0,10364.0,IR1,Inside,Gilbert,2Story,6,5,1995,1996,Gable,MetalSd,0.0,TA,PConc,Gd,No,Unf,0.0,806.0,806.0,Gd,766.0,1572.0,0,2,1,3,TA,1,BuiltIn,Fin,2,0.0,40.0,5,2007
_2,70.0,9991.0,IR1,Corner,Sawyer,1Story,4,4,1976,1993,Gable,Plywood,0.0,TA,CBlock,TA,No,BLQ,1116.0,165.0,1281.0,Ex,0.0,1620.0,1,2,0,3,TA,1,Attchd,Unf,2,120.0,78.0,6,2009
_1,51.0,10480.0,Reg,Inside,other_1,1.5Fin,6,5,1936,1950,Gable,MetalSd,0.0,TA,BrkTil,TA,No,Unf,0.0,1064.0,1064.0,Ex,0.0,1639.0,0,1,0,3,TA,0,Detchd,Unf,1,0.0,0.0,3,2008
_2,63.0,15576.0,Reg,Inside,other_3,2Story,6,7,1915,1976,Gable,Wd Sdng,0.0,TA,BrkTil,Gd,No,Unf,0.0,840.0,840.0,Ex,840.0,1680.0,0,2,0,4,TA,0,Attchd,Unf,1,0.0,0.0,3,2008
_3,109.0,14154.0,Reg,Corner,NridgHt,2Story,7,5,2006,2006,Gable,VinylSd,350.0,Gd,PConc,Ex,No,Unf,0.0,1063.0,1063.0,Ex,1101.0,2172.0,0,2,1,3,Gd,1,Attchd,RFn,3,192.0,62.0,8,2007
_3,85.0,10800.0,Reg,Inside,Somerst,2Story,8,5,2007,2008,Gable,VinylSd,100.0,Gd,PConc,Ex,No,GLQ,789.0,245.0,1034.0,Ex,1028.0,2078.0,1,2,1,3,Ex,1,Attchd,Fin,3,0.0,102.0,4,2008
_2,68.0,9571.0,Reg,Inside,Edwards,1Story,5,3,1958,1958,Gable,other,0.0,TA,CBlock,TA,No,Unf,0.0,1276.0,1276.0,TA,0.0,1276.0,0,1,0,3,TA,0,Attchd,Unf,1,0.0,0.0,6,2009
_1,100.0,34650.0,Reg,Inside,Gilbert,1Story,5,5,1955,1955,Hip,Wd Sdng,0.0,TA,CBlock,TA,Mn,Rec,1056.0,0.0,1056.0,TA,0.0,1056.0,1,1,0,3,TA,0,Attchd,Fin,2,264.0,0.0,1,2006
_2,70.0,4403.0,IR2,Inside,Somerst,1Story,7,5,2009,2009,Gable,MetalSd,432.0,Ex,PConc,Ex,Av,GLQ,578.0,892.0,1470.0,Ex,0.0,1478.0,1,2,1,2,Gd,1,Attchd,Fin,2,0.0,144.0,6,2010
_1,56.0,8960.0,Reg,Inside,OldTown,1Story,5,6,1927,1950,Gable,other,0.0,TA,CBlock,TA,No,Unf,0.0,1008.0,1008.0,Gd,0.0,1028.0,0,1,0,2,TA,1,Detchd,Unf,2,0.0,0.0,3,2010
_3,59.0,11228.0,IR2,CulDSac,other_2,2Story,7,5,1993,1993,Gable,VinylSd,0.0,Gd,PConc,Gd,No,BLQ,50.0,499.0,1080.0,Ex,1017.0,2097.0,0,2,1,3,Gd,1,Attchd,Unf,3,196.0,187.0,12,2008
_2,73.0,8899.0,IR1,Inside,Gilbert,1Story,7,5,2007,2007,Gable,VinylSd,0.0,Gd,PConc,Gd,Av,GLQ,24.0,1316.0,1340.0,Ex,0.0,1340.0,0,2,0,3,Gd,0,Attchd,Fin,2,100.0,30.0,8,2007
_3,74.0,7844.0,Reg,Inside,Sawyer,2Story,6,7,1978,1978,Hip,HdBoard,203.0,TA,CBlock,TA,No,ALQ,209.0,463.0,672.0,TA,728.0,1400.0,0,1,1,3,TA,1,Attchd,Fin,2,0.0,0.0,3,2006
_2,86.0,22420.0,IR1,Inside,other_3,2Story,6,6,1918,1950,Hip,Wd Sdng,0.0,TA,BrkTil,Gd,No,BLQ,1128.0,242.0,1370.0,TA,1254.0,2624.0,1,2,1,4,TA,1,Detchd,Unf,3,0.0,0.0,11,2007
_1,60.0,8160.0,Reg,Inside,Edwards,1.5Fin,5,6,1940,1950,Gable,MetalSd,0.0,TA,BrkTil,TA,No,ALQ,312.0,444.0,756.0,Fa,378.0,1134.0,1,1,1,3,TA,0,Detchd,Unf,1,0.0,0.0,4,2007
_2,65.0,8450.0,Reg,Inside,NAmes,1Story,5,6,1968,1968,Gable,VinylSd,0.0,TA,CBlock,TA,No,BLQ,775.0,281.0,1056.0,Ex,0.0,1056.0,1,1,0,3,TA,1,Attchd,Unf,1,0.0,85.0,7,2010
_1,78.0,7060.0,Reg,Inside,other_2,other,7,5,1997,1998,Gable,VinylSd,200.0,TA,PConc,Gd,Gd,GLQ,1309.0,35.0,1344.0,Ex,0.0,1344.0,2,2,0,2,TA,0,Attchd,Fin,4,0.0,0.0,11,2008
_2,70.0,16635.0,IR1,FR2,NWAmes,1Story,6,7,1977,2000,Gable,CemntBd,126.0,Gd,CBlock,Gd,No,ALQ,1246.0,356.0,1602.0,Gd,0.0,1602.0,0,2,0,3,Gd,1,Attchd,Fin,2,240.0,0.0,6,2009
_2,100.0,21750.0,Reg,Inside,other_2,1Story,5,5,1954,1954,Hip,HdBoard,0.0,TA,CBlock,TA,No,Unf,0.0,988.0,988.0,Ex,0.0,988.0,0,1,0,2,TA,0,Attchd,RFn,2,0.0,0.0,2,2008
_3,80.0,9200.0,Reg,Inside,other_4,2Story,8,5,1998,1998,Gable,VinylSd,473.0,Gd,PConc,Gd,No,GLQ,986.0,484.0,1470.0,Gd,1160.0,2630.0,1,2,1,4,Gd,1,Attchd,Fin,3,0.0,66.0,6,2008
_2,72.0,9000.0,Reg,Inside,NAmes,1Story,6,5,1956,1956,Gable,Wd Sdng,74.0,TA,CBlock,Gd,No,LwQ,616.0,580.0,1196.0,Gd,0.0,1196.0,1,1,0,2,TA,1,Attchd,RFn,1,0.0,44.0,5,2008
_3,60.0,3378.0,Reg,Inside,OldTown,2Story,7,8,1946,1992,Gable,HdBoard,0.0,TA,CBlock,TA,No,Unf,0.0,651.0,651.0,Gd,682.0,1389.0,0,1,1,3,TA,2,Detchd,Unf,1,0.0,0.0,9,2009
_2,70.0,12800.0,Reg,Inside,other_2,SLvl,7,5,1989,1989,Gable,Wd Sdng,145.0,Gd,PConc,Gd,Gd,GLQ,1518.0,0.0,1518.0,Gd,0.0,1644.0,1,2,0,2,Gd,1,Attchd,Fin,2,80.0,0.0,8,2009
_2,77.0,8593.0,IR1,Inside,NAmes,1Story,4,6,1957,1957,Hip,MetalSd,0.0,TA,CBlock,TA,No,Rec,288.0,619.0,907.0,Ex,0.0,907.0,0,1,0,3,TA,0,Detchd,Unf,1,0.0,0.0,7,2008
_2,64.0,6762.0,Reg,Inside,CollgCr,1Story,7,5,2007,2007,Gable,VinylSd,108.0,Gd,PConc,Gd,No,GLQ,664.0,544.0,1208.0,Ex,0.0,1208.0,1,2,0,2,Gd,0,Attchd,RFn,2,105.0,54.0,9,2007
_2,130.0,11457.0,IR1,Corner,other_3,1Story,6,5,1988,1988,Gable,HdBoard,0.0,TA,CBlock,Gd,Mn,GLQ,1005.0,387.0,1392.0,TA,0.0,1412.0,1,2,0,3,Gd,1,Attchd,Unf,2,0.0,0.0,3,2009
_1,21.0,1680.0,Reg,Inside,other_1,2Story,6,5,1971,1971,Gable,HdBoard,232.0,TA,CBlock,TA,No,ALQ,387.0,96.0,483.0,TA,504.0,987.0,0,1,1,2,TA,0,Detchd,Unf,1,0.0,0.0,7,2008
_1,60.0,5586.0,IR1,Inside,OldTown,1.5Fin,6,7,1920,1998,Gable,MetalSd,0.0,TA,BrkTil,TA,No,Unf,0.0,901.0,901.0,Gd,110.0,1198.0,0,1,0,4,TA,0,Attchd,RFn,0,0.0,98.0,9,2008
_1,24.0,1920.0,Reg,Inside,other_1,2Story,5,5,1971,1971,Gable,HdBoard,376.0,TA,CBlock,TA,No,ALQ,471.0,294.0,765.0,Ex,600.0,1365.0,1,1,1,2,TA,0,Detchd,Unf,2,240.0,36.0,8,2007
_3,100.0,10839.0,IR1,Corner,Gilbert,2Story,6,5,1997,1998,Gable,VinylSd,0.0,TA,PConc,Gd,No,Unf,0.0,926.0,926.0,Ex,678.0,1604.0,0,2,1,3,TA,1,Attchd,Fin,2,0.0,36.0,7,2008
_1,21.0,1890.0,Reg,Inside,other_1,other,4,7,1972,1972,Gable,CemntBd,0.0,TA,CBlock,Gd,Av,ALQ,495.0,135.0,630.0,Gd,0.0,692.18,1,1,0,1,TA,0,Attchd,RFn,0,88.0,0.0,6,2008
_3,43.0,10667.0,IR2,CulDSac,CollgCr,2Story,7,6,1996,1996,Gable,VinylSd,0.0,Gd,PConc,Gd,Av,GLQ,385.0,70.0,799.0,Ex,834.0,1661.0,1,2,1,3,Gd,1,Attchd,RFn,2,158.0,61.0,4,2009
_1,40.0,4400.0,Reg,Inside,OldTown,1.5Fin,6,8,1920,1950,Gable,other,0.0,TA,BrkTil,Fa,No,Unf,0.0,648.0,648.0,TA,384.0,1118.0,0,1,0,2,TA,0,Detchd,Unf,2,0.0,0.0,10,2006
_1,50.0,6000.0,Reg,Inside,other_1,other,6,7,1926,2004,Gable,Wd Sdng,0.0,Gd,PConc,TA,No,Unf,0.0,884.0,884.0,Gd,0.0,904.0,0,1,0,2,TA,0,Detchd,Unf,1,0.0,0.0,1,2009
_1,40.0,4280.0,Reg,Inside,other_3,1Story,5,6,1913,2002,Gable,other,0.0,TA,PConc,TA,No,LwQ,365.0,75.0,440.0,TA,0.0,694.0,0,1,0,2,Gd,1,Detchd,Unf,1,0.0,0.0,3,2007
_1,67.0,12354.0,Reg,Corner,Edwards,1.5Fin,6,8,1920,2000,Gable,Wd Sdng,0.0,TA,BrkTil,TA,Mn,Unf,0.0,684.0,684.0,Gd,512.0,1196.0,0,1,0,3,Gd,0,Detchd,Unf,2,0.0,46.0,8,2009
_2,105.0,15431.0,Reg,Inside,NridgHt,1Story,10,5,2008,2008,Hip,VinylSd,200.0,Ex,PConc,Ex,Gd,GLQ,1572.41,788.0,2155.05,Ex,0.0,2402.0,1,2,0,2,Ex,2,Attchd,Fin,3,0.0,72.0,4,2009
